Year,Belgium,Great Britain,Italy,Monaco
1950,274.1,110.6,120.0,111.0
1951,262.1,104.0,116.5,
1952,295.0,112.0,126.1,
1953,274.0,110.0,124.5,
1954,265.5,110.0,120.8,
1955,260.6,120.4,166.9,102.4
1956,254.7,103.2,165.5,104.4
1957,,119.2,103.7,105.6
1958,238.3,100.8,102.9,100.6
1959,,117.0,100.4,100.4
1960,231.9,94.4,163.6,96.2
1961,239.8,117.8,168.4,96.3
1962,235.6,115.0,102.3,95.5
1963,238.1,96.0,98.9,94.5
1964,229.2,98.8,98.8,93.9
1965,252.9,92.2,96.4,91.7
1966,258.7,97.0,92.4,89.8
1967,211.9,87.0,88.5,89.5
1968,210.5,89.7,86.5,88.1
1969,,81.3,85.2,85.1
1970,207.4,85.9,85.2,83.2
1971,,79.9,83.8,82.2
1972,,84.0,96.3,100.0
1973,,78.6,95.3,88.1
1974,,81.1,94.2,87.9
1975,,80.9,93.1,88.67
1976,,79.91,101.3,90.28
1977,,79.6,99.1,91.07
1978,,78.6,98.23,88.65
1979,,74.4,95.6,88.82
1980,,72.37,96.09,87.42
1981,,75.07,97.53,87.47
1982,,73.03,93.62,86.35
1983,127.49,74.21,94.43,87.28
1984,,73.19,91.91,114.33
1985,121.73,69.89,88.28,82.64
1986,119.28,69.59,88.1,86.61
1987,117.15,69.83,86.8,87.69
1988,120.77,83.31,89.07,86.32
1989,131.57,72.02,88.11,85.5
1990,115.09,71.29,86.25,84.47
1991,115.16,86.38,86.06,84.37
1992,113.79,82.54,86.12,81.6
1993,111.1,82.52,83.58,83.6
1994,117.12,87.1,85.93,81.08
1995,113.41,89.75,86.42,84.62
1996,113.07,89.29,86.11,85.2
1997,112.69,84.48,84.81,113.32
1998,123.77,95.7,85.14,82.95
1999,113.96,88.31,85.58,82.26
2000,113.8,86.22,85.59,81.57
2001,109.76,83.41,85.07,79.42
2002,107.18,83.08,83.66,78.02
2003,,82.24,81.83,74.55
2004,105.1,78.7,81.0,74.4
2005,111.5,80.5,81.5,75.8
2006,,81.6,82.6,75.1
2007,108.0,80.6,82.9,75.3
2008,107.9,92.1,88.0,76.7
2009,107.3,80.7,84.7,75.2
2010,109.1,90.9,84.1,75.2
2011,109.9,94.9,86.2,76.2
2012,112.8,94.7,87.2,77.3
2013,110.8,93.4,85.8,76.6
2014,110.5,97.2,88.0,78.5
2015,112.4,97.1,86.7,78.1
2016,111.6,95.5,85.3,77.9
2017,106.6,90.6,83.4,74.8
2018,106.3,90.7,82.5,74.3
2019,106.4,87.4,81.8,74.3
2020,107.5,87.1,82.7,
