raceId,year,name,forename,surname,name,finishingPosition,points
36,2007,"Australian Grand Prix",Kimi,Raikkonen,Ferrari,1,10
36,2007,"Australian Grand Prix",Fernando,Alonso,McLaren,2,8
36,2007,"Australian Grand Prix",Lewis,Hamilton,McLaren,3,6
36,2007,"Australian Grand Prix",Nick,Heidfeld,"BMW Sauber",4,5
36,2007,"Australian Grand Prix",Giancarlo,Fisichella,Renault,5,4
36,2007,"Australian Grand Prix",Felipe,Massa,Ferrari,6,3
36,2007,"Australian Grand Prix",Nico,Rosberg,Williams,7,2
36,2007,"Australian Grand Prix",Ralf,Schumacher,Toyota,8,1
36,2007,"Australian Grand Prix",Jarno,Trulli,Toyota,9,0
36,2007,"Australian Grand Prix",Heikki,Kovalainen,Renault,10,0
36,2007,"Australian Grand Prix",Rubens,Barrichello,Honda,11,0
36,2007,"Australian Grand Prix",Takuma,Sato,"Super Aguri",12,0
36,2007,"Australian Grand Prix",Mark,Webber,"Red Bull",13,0
36,2007,"Australian Grand Prix",Vitantonio,Liuzzi,"Toro Rosso",14,0
36,2007,"Australian Grand Prix",Jenson,Button,Honda,15,0
36,2007,"Australian Grand Prix",Anthony,Davidson,"Super Aguri",16,0
36,2007,"Australian Grand Prix",Adrian,Sutil,Spyker,17,0
36,2007,"Australian Grand Prix",Alexander,Wurz,Williams,18,0
36,2007,"Australian Grand Prix",David,Coulthard,"Red Bull",19,0
36,2007,"Australian Grand Prix",Robert,Kubica,"BMW Sauber",20,0
36,2007,"Australian Grand Prix",Scott,Speed,"Toro Rosso",21,0
36,2007,"Australian Grand Prix",Christijan,Albers,Spyker,22,0
37,2007,"Malaysian Grand Prix",Fernando,Alonso,McLaren,1,10
37,2007,"Malaysian Grand Prix",Lewis,Hamilton,McLaren,2,8
37,2007,"Malaysian Grand Prix",Kimi,Raikkonen,Ferrari,3,6
37,2007,"Malaysian Grand Prix",Nick,Heidfeld,"BMW Sauber",4,5
37,2007,"Malaysian Grand Prix",Felipe,Massa,Ferrari,5,4
37,2007,"Malaysian Grand Prix",Giancarlo,Fisichella,Renault,6,3
37,2007,"Malaysian Grand Prix",Jarno,Trulli,Toyota,7,2
37,2007,"Malaysian Grand Prix",Heikki,Kovalainen,Renault,8,1
37,2007,"Malaysian Grand Prix",Alexander,Wurz,Williams,9,0
37,2007,"Malaysian Grand Prix",Mark,Webber,"Red Bull",10,0
37,2007,"Malaysian Grand Prix",Rubens,Barrichello,Honda,11,0
37,2007,"Malaysian Grand Prix",Jenson,Button,Honda,12,0
37,2007,"Malaysian Grand Prix",Takuma,Sato,"Super Aguri",13,0
37,2007,"Malaysian Grand Prix",Scott,Speed,"Toro Rosso",14,0
37,2007,"Malaysian Grand Prix",Ralf,Schumacher,Toyota,15,0
37,2007,"Malaysian Grand Prix",Anthony,Davidson,"Super Aguri",16,0
