driverId,year,surname,forename,nationality
653,1950,,,American
795,1950,,,American
537,1950,Rathmann,Dick,American
726,1950,,,American
654,1950,,,American
559,1950,Flaherty,Pat,American
729,1950,,,American
658,1950,,,American
509,1950,Rathmann,Jim,American
799,1950,,,American
770,1950,,,American
526,1950,Ruttman,Troy,American
593,1950,Parsons,Johnnie,American
768,1950,,,American
615,1950,Agabashian,Fred,American
659,1950,,,American
518,1950,Carter,Duane,American
529,1950,Bettenhausen,Tony,American
803,1950,,,American
798,1950,,,American
701,1950,,,American
555,1950,Russo,Paul,American
772,1950,,,American
501,1950,Schell,Harry,American
771,1950,,,American
630,1950,,,American
796,1950,,,American
611,1950,Hanks,Sam,American
731,1950,,,American
766,1950,,,American
520,1950,Hartley,Gene,American
797,1950,,,American
732,1950,,,American
794,1950,,,American
677,1950,,,American
734,1951,,,American
729,1951,,,American
726,1951,,,American
680,1951,,,American
699,1951,,,American
770,1951,,,American
731,1951,,,American
529,1951,Bettenhausen,Tony,American
673,1951,,,American
657,1951,,,American
767,1951,,,American
526,1951,Ruttman,Troy,American
630,1951,,,American
766,1951,,,American
611,1951,Hanks,Sam,American
629,1951,,,American
449,1951,Ward,Rodger,American
733,1951,,,American
534,1951,Force,Gene,American
593,1951,Parsons,Johnnie,American
732,1951,,,American
700,1951,,,American
769,1951,,,American
728,1951,,,American
772,1951,,,American
521,1951,Stevenson,Chuck,American
658,1951,,,American
518,1951,Carter,Duane,American
675,1951,,,American
771,1951,,,American
615,1951,Agabashian,Fred,American
612,1951,Linden,Andy,American
501,1951,Schell,Harry,American
768,1951,,,American
653,1951,,,American
654,1951,,,American
513,1952,Johnson,Eddie,American
529,1952,Bettenhausen,Tony,American
501,1952,Schell,Harry,American
521,1952,Stevenson,Chuck,American
449,1952,Ward,Rodger,American
727,1952,,,American
525,1952,Bryan,Jimmy,American
726,1952,,,American
657,1952,,,American
731,1952,,,American
702,1952,,,American
699,1952,,,American
520,1952,Hartley,Gene,American
737,1952,,,American
658,1952,,,American
612,1952,Linden,Andy,American
729,1952,,,American
734,1952,,,American
728,1952,,,American
592,1952,Reece,Jimmy,American
675,1952,,,American
629,1952,,,American
677,1952,,,American
526,1952,Ruttman,Troy,American
628,1952,,,American
615,1952,Agabashian,Fred,American
509,1952,Rathmann,Jim,American
656,1952,,,American
593,1952,Parsons,Johnnie,American
611,1952,Hanks,Sam,American
518,1952,Carter,Duane,American
730,1952,,,American
733,1952,,,American
732,1952,,,American
679,1953,,,American
654,1953,,,American
612,1953,Linden,Andy,American
702,1953,,,American
658,1953,,,American
655,1953,,,American
501,1953,Schell,Harry,American
559,1953,Flaherty,Pat,American
657,1953,,,American
556,1953,Daywalt,Jimmy,American
613,1953,Teague,Marshall,American
677,1953,,,American
