raceId,year,name,forename,surname,q3,name,position
860,2012,"Australian Grand Prix",Lewis,Hamilton,1:24.922,McLaren,1
860,2012,"Australian Grand Prix",Jenson,Button,1:25.074,McLaren,2
860,2012,"Australian Grand Prix",Romain,Grosjean,1:25.302,"Lotus F1",3
860,2012,"Australian Grand Prix",Michael,Schumacher,1:25.336,Mercedes,4
860,2012,"Australian Grand Prix",Mark,Webber,1:25.651,"Red Bull",5
860,2012,"Australian Grand Prix",Sebastian,Vettel,1:25.668,"Red Bull",6
860,2012,"Australian Grand Prix",Nico,Rosberg,1:25.686,Mercedes,7
860,2012,"Australian Grand Prix",Pastor,Maldonado,1:25.908,Williams,8
860,2012,"Australian Grand Prix",Nico,Hulkenberg,1:26.451,"Force India",9
860,2012,"Australian Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",10
860,2012,"Australian Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",11
860,2012,"Australian Grand Prix",Fernando,Alonso,\N,Ferrari,12
860,2012,"Australian Grand Prix",Kamui,Kobayashi,\N,Sauber,13
860,2012,"Australian Grand Prix",Bruno,Senna,\N,Williams,14
860,2012,"Australian Grand Prix",Paul,"di Resta",\N,"Force India",15
860,2012,"Australian Grand Prix",Felipe,Massa,\N,Ferrari,16
860,2012,"Australian Grand Prix",Sergio,Perez,\N,Sauber,17
860,2012,"Australian Grand Prix",Kimi,Raikkonen,\N,"Lotus F1",18
860,2012,"Australian Grand Prix",Heikki,Kovalainen,\N,Caterham,19
860,2012,"Australian Grand Prix",Vitaly,Petrov,\N,Caterham,20
860,2012,"Australian Grand Prix",Timo,Glock,\N,Marussia,21
860,2012,"Australian Grand Prix",Charles,Pic,\N,Marussia,22
860,2012,"Australian Grand Prix",Pedro,"de la Rosa",\N,HRT,23
860,2012,"Australian Grand Prix",Narain,Karthikeyan,\N,HRT,24
861,2012,"Malaysian Grand Prix",Lewis,Hamilton,1:36.219,McLaren,1
861,2012,"Malaysian Grand Prix",Jenson,Button,1:36.368,McLaren,2
861,2012,"Malaysian Grand Prix",Michael,Schumacher,1:36.391,Mercedes,3
861,2012,"Malaysian Grand Prix",Mark,Webber,1:36.461,"Red Bull",4
861,2012,"Malaysian Grand Prix",Kimi,Raikkonen,1:36.461,"Lotus F1",5
861,2012,"Malaysian Grand Prix",Sebastian,Vettel,1:36.634,"Red Bull",6
861,2012,"Malaysian Grand Prix",Romain,Grosjean,1:36.658,"Lotus F1",7
861,2012,"Malaysian Grand Prix",Nico,Rosberg,1:36.664,Mercedes,8
861,2012,"Malaysian Grand Prix",Fernando,Alonso,1:37.566,Ferrari,9
861,2012,"Malaysian Grand Prix",Sergio,Perez,1:37.698,Sauber,10
861,2012,"Malaysian Grand Prix",Pastor,Maldonado,\N,Williams,11
861,2012,"Malaysian Grand Prix",Felipe,Massa,\N,Ferrari,12
861,2012,"Malaysian Grand Prix",Bruno,Senna,\N,Williams,13
861,2012,"Malaysian Grand Prix",Paul,"di Resta",\N,"Force India",14
861,2012,"Malaysian Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",15
861,2012,"Malaysian Grand Prix",Nico,Hulkenberg,\N,"Force India",16
861,2012,"Malaysian Grand Prix",Kamui,Kobayashi,\N,Sauber,17
861,2012,"Malaysian Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",18
861,2012,"Malaysian Grand Prix",Heikki,Kovalainen,\N,Caterham,19
861,2012,"Malaysian Grand Prix",Vitaly,Petrov,\N,Caterham,20
861,2012,"Malaysian Grand Prix",Timo,Glock,\N,Marussia,21
861,2012,"Malaysian Grand Prix",Charles,Pic,\N,Marussia,22
861,2012,"Malaysian Grand Prix",Pedro,"de la Rosa",\N,HRT,23
861,2012,"Malaysian Grand Prix",Narain,Karthikeyan,\N,HRT,24
862,2012,"Chinese Grand Prix",Nico,Rosberg,1:35.121,Mercedes,1
862,2012,"Chinese Grand Prix",Lewis,Hamilton,1:35.626,McLaren,2
862,2012,"Chinese Grand Prix",Michael,Schumacher,1:35.691,Mercedes,3
862,2012,"Chinese Grand Prix",Kamui,Kobayashi,1:35.784,Sauber,4
862,2012,"Chinese Grand Prix",Kimi,Raikkonen,1:35.898,"Lotus F1",5
862,2012,"Chinese Grand Prix",Jenson,Button,1:36.191,McLaren,6
862,2012,"Chinese Grand Prix",Mark,Webber,1:36.290,"Red Bull",7
862,2012,"Chinese Grand Prix",Sergio,Perez,1:36.524,Sauber,8
862,2012,"Chinese Grand Prix",Fernando,Alonso,1:36.622,Ferrari,9
862,2012,"Chinese Grand Prix",Romain,Grosjean,\N,"Lotus F1",10
862,2012,"Chinese Grand Prix",Sebastian,Vettel,\N,"Red Bull",11
862,2012,"Chinese Grand Prix",Felipe,Massa,\N,Ferrari,12
862,2012,"Chinese Grand Prix",Pastor,Maldonado,\N,Williams,13
862,2012,"Chinese Grand Prix",Bruno,Senna,\N,Williams,14
862,2012,"Chinese Grand Prix",Paul,"di Resta",\N,"Force India",15
862,2012,"Chinese Grand Prix",Nico,Hulkenberg,\N,"Force India",16
862,2012,"Chinese Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",17
862,2012,"Chinese Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",18
862,2012,"Chinese Grand Prix",Heikki,Kovalainen,\N,Caterham,19
862,2012,"Chinese Grand Prix",Vitaly,Petrov,\N,Caterham,20
862,2012,"Chinese Grand Prix",Timo,Glock,\N,Marussia,21
862,2012,"Chinese Grand Prix",Charles,Pic,\N,Marussia,22
862,2012,"Chinese Grand Prix",Pedro,"de la Rosa",\N,HRT,23
862,2012,"Chinese Grand Prix",Narain,Karthikeyan,\N,HRT,24
863,2012,"Bahrain Grand Prix",Sebastian,Vettel,1:32.422,"Red Bull",1
863,2012,"Bahrain Grand Prix",Lewis,Hamilton,1:32.520,McLaren,2
