name,Constructor,fullname,position
Abu Dhabi Grand Prix,Caterham,Heikki Kovalainen,19
Abu Dhabi Grand Prix,Caterham,Vitaly Petrov,21
Abu Dhabi Grand Prix,Ferrari,Felipe Massa,9
Abu Dhabi Grand Prix,Ferrari,Fernando Alonso,7
Abu Dhabi Grand Prix,Force India,Nico Hulkenberg,11
Abu Dhabi Grand Prix,Force India,Paul di Resta,13
Abu Dhabi Grand Prix,HRT,Narain Karthikeyan,24
Abu Dhabi Grand Prix,HRT,Pedro de la Rosa,23
Abu Dhabi Grand Prix,Lotus F1,Kimi Raikkonen,5
Abu Dhabi Grand Prix,Lotus F1,Romain Grosjean,10
Abu Dhabi Grand Prix,Marussia,Charles Pic,20
Abu Dhabi Grand Prix,Marussia,Timo Glock,22
Abu Dhabi Grand Prix,McLaren,Jenson Button,6
Abu Dhabi Grand Prix,McLaren,Lewis Hamilton,1
Abu Dhabi Grand Prix,Mercedes,Michael Schumacher,14
Abu Dhabi Grand Prix,Mercedes,Nico Rosberg,8
Abu Dhabi Grand Prix,Red Bull,Mark Webber,2
Abu Dhabi Grand Prix,Red Bull,Sebastian Vettel,3
Abu Dhabi Grand Prix,Sauber,Kamui Kobayashi,16
Abu Dhabi Grand Prix,Sauber,Sergio Perez,12
Abu Dhabi Grand Prix,Toro Rosso,Daniel Ricciardo,17
Abu Dhabi Grand Prix,Toro Rosso,Jean-eric Vergne,18
Abu Dhabi Grand Prix,Williams,Bruno Senna,15
Abu Dhabi Grand Prix,Williams,Pastor Maldonado,4
Australian Grand Prix,Caterham,Heikki Kovalainen,19
Australian Grand Prix,Caterham,Vitaly Petrov,20
Australian Grand Prix,Ferrari,Felipe Massa,16
Australian Grand Prix,Ferrari,Fernando Alonso,12
Australian Grand Prix,Force India,Nico Hulkenberg,9
Australian Grand Prix,Force India,Paul di Resta,15
Australian Grand Prix,HRT,Narain Karthikeyan,24
Australian Grand Prix,HRT,Pedro de la Rosa,23
Australian Grand Prix,Lotus F1,Kimi Raikkonen,18
Australian Grand Prix,Lotus F1,Romain Grosjean,3
